Electricity
ElectricityByUtility (1),Utility Name,Year,Ag & Water Pump,Commercial Building,Commercial Other,Industry,Mining & Construction,Residential,Streetlight,Total Usage,CA Electric Utility Retail Price ($/kWh),NorCal or Socal,CA Avg Temp (F)
Publicly owned utility,Merced Irrigation District,2001,0.000000,152.860646,0.000000,117.432354,0.000000,0.860000,0.000000,271.153000,0.112,NorCal,59.1
Publicly owned utility,Metropolitan Water District of Southern California,2001,2483.730000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2483.730000,0.112,SoCal,59.1
Publicly owned utility,Modesto Irrigation District,2001,106.650500,787.340356,61.933230,488.507297,11.568618,761.000000,15.000000,2232.000001,0.112,NorCal,59.1
Publicly owned utility,"Needles, City of",2001,1.300156,23.034725,1.542999,0.059368,0.451196,32.358000,0.041557,58.788001,0.112,SoCal,59.1
Investor owned utility,Pacific Gas and Electric Company,2001,4238.136928,28774.011100,3449.955681,13147.073208,1327.948807,26779.552200,419.117862,78135.795786,0.112,NorCal,59.1
Investor owned utility,PacifiCorp,2001,102.015556,230.695137,18.869032,72.720674,2.271137,357.543000,3.035462,787.149998,0.112,NorCal,59.1
Publicly owned utility,"Palo Alto, City of, Utilities Department",2001,5.173535,594.729247,11.120056,248.518886,5.846849,188.303000,4.283428,1057.975001,0.112,NorCal,59.1
Publicly owned utility,Pasadena Water and Power,2001,2.901779,755.782440,30.813206,30.095040,17.546544,289.371000,13.518991,1140.029000,0.112,SoCal,59.1
Rural electric cooperative,Plumas-Sierra Rural Electric Cooperative,2001,10.890959,51.152848,2.672572,0.711372,0.319249,55.931000,0.000000,121.678000,0.112,NorCal,59.1
Publicly owned utility,Power Enterprise of the San Francisco Public Utilities Commission,2001,171.015492,332.660437,217.919737,4.926984,0.000000,0.000000,16.508350,743.031000,0.112,NorCal,59.1
Publicly owned utility,Redding Electric Utility,2001,15.292425,310.560362,13.601400,15.983969,10.485887,323.243067,4.029119,693.196229,0.112,NorCal,59.1
Publicly owned utility,"Riverside, City of",2001,0.645685,966.227209,13.366355,109.885681,7.153193,597.000000,17.721877,1712.000000,0.112,SoCal,59.1
Publicly owned utility,Roseville Electric,2001,0.497167,383.632623,41.260157,208.884469,3.312230,298.428000,5.803353,941.817999,0.112,NorCal,59.1
Publicly owned utility,Sacramento Municipal Utility District,2001,155.012076,3751.067899,465.463554,784.846119,155.738528,4019.499763,73.973375,9405.601314,0.112,NorCal,59.1
Investor owned utility,San Diego Gas and Electric Company,2001,240.606461,7409.224639,1587.380960,1666.060861,225.307607,6117.644131,27.621608,17273.846267,0.112,SoCal,59.1
Self Generator,Self Generation in the LADWP planning area,2001,0.000000,246.105961,0.000000,859.598000,0.000000,0.472311,0.000000,1106.176272,0.112,,59.1
Self Generator,Self Generation in the NCNC planning area,2001,0.000000,1.284006,0.954868,0.000000,0.000000,1.589653,0.000000,3.828527,0.112,,59.1
Self Generator,Self Generation in the OTHER planning area,2001,0.000000,0.000000,0.000000,2.724000,0.000000,0.027936,0.000000,2.751936,0.112,,59.1
Self Generator,Self Generation in the PGE planning area,2001,0.000000,221.760810,14.013000,2708.805000,1530.554000,1.804459,0.000000,4476.937269,0.112,,59.1
Self Generator,Self Generation in the SCE planning area,2001,0.000000,84.513238,182.965000,2303.949838,497.827000,0.454425,0.000000,3069.709501,0.112,,59.1
